Company Legal Name,Trading Name,Region,HQ based in country,Valid website link OR leave blank,Lead Owner,Qualified as a customer at [day],Website form request send?,Message sent,Generic email,Names,Emails,
DC Payments Pty Ltd,Direct Cash,Asia / Pacific,AUSTRALIA,cardtronics.ca,,,,,,,,
Cardtronics Australia Pty Ltd,Cardtronics,Asia / Pacific,AUSTRALIA,cardtronics.com.au,,,,,,,,
JSC Cartu Bank,,Asia / Pacific,GEORGIA,cartubank.ge,,,,,,,,
Cash2Go ATMs Pty Ltd,Cash2Go,Asia / Pacific,AUSTRALIA,cash2goatms.com.au,,,,,,,,
Pasfar Technologies Pvt. Ltd,CashFree,Asia / Pacific,India,cashfree.com,,,,,,,,
CashPoint ATM Pty Ltd,Cashpoint payment Solutions,Asia / Pacific,AUSTRALIA,cashpoint.com.au,,,,,,,,
Central Bank of Azerbaijan Republic,Central Bank of Azerbaijan Republic,Asia / Pacific,AZERBAIJAN,cbar.az,,,,,,,,
Credit Cards Management,,Asia / Pacific,LEBANON,ccm.com.lb,,,,,,,,
Cedyna Financial Corporation,,Asia / Pacific,JAPAN,cedyna.co.jp,,,,,,,,
Cellpoint Mobile (India),,Asia / Pacific,INDIA,cellpointmobile.com,,,,,,,,
Chailease Finance Co. Ltd,n/a,Asia / Pacific,Taiwan,chaipay.com.tw,,,,,,,,
Chan Wanich Security Printing Co Ltd,,Asia / Pacific,THAILAND,chanwanich.com,,,,,,,,
Chong Hing Bank Limited,,Asia / Pacific,HONG KONG,chbank.com,,,,,,,,
Cherri Tech Inc.,,Asia / Pacific,TAIWAN,cherricorp.com,,,,,,,,
Redbourne Business Services (Australia) Pty Ltd,Child Care Central,Asia / Pacific,Australia,childcarecentral.com.au,,,,,,,,
"XH Smart Tech (China) Co., Ltd.",,Asia / Pacific,MAINLAND CHINA,china-xinghan.com,,,,,,,,
"CHINABANK PAYMENTS CO., LTD","CHINABANK PAYMENTS CO., LTD",Asia / Pacific,CHINA MAINLAND,chinabank.com.cn,,,,,,,,
"Shanghai China Card Smart Card Co., Ltd",,Asia / Pacific,MAINLAND CHINA,chinacardgroup.com.cn,,,,,,,,
"Ci Medica Co., Ltd.",Ci medical,Asia / Pacific,JAPAN,ci-medical.co.jp,,,,,,,,
Citrus Payment Solutions Private Limited,Citrus Payment Solutions Private Limited,Asia / Pacific,India,citruspay.com,,,,,,,,
"CITY SQUARE COMMERCIAL Co.,Ltd",,Asia / Pacific,MYANMAR,citysquaregroup.com,,,,,,,,
HEALTH CLAIM SOLUTIONS PTY LTD,Claim Solution,Asia / Pacific,AUSTRALIA,claimsolutions.com.au,,,,,,,,
CLIQ Payment Solutions Limited,,Asia / Pacific,HONG KONG,cliq.com,,,,,,,,
ROBOT PAYMENT INC.,,Asia / Pacific,JAPAN,cloudpayment.co.jp,,,,,,,,
Cloudwell Limited,Paywell,Asia / Pacific,Bangladesh,cloudwell.co,,,,,,,,
Club Solutions Australia,Oxil,Asia / Pacific,Australia,clubsolutionsaustralia.com.au,,,,,,,,
CMS Info Systems Limited,,Asia / Pacific,INDIA,cms.com,,,,,,,,
China CITIC Bank International Limited,,Asia / Pacific,HONG KONG,cncbinternational.com,,,,,,,,
"Coiney, Inc",Coiney,Asia / Pacific,Japan,coiney.com,,,,,,,,
Columbus Capital,Columbus Capital,Asia / Pacific,AUSTRALIA,colcap.com.au,,,,,,,,
Collinson Group Pty Ltd,Collinson,Asia / Pacific,AUSTRALIA,collinsongroup.com,,,,,,,,
Colorplast Systems Pvt Ltd,,Asia / Pacific,INDIA,colorplast.in,,,,,,,,
JDFL International Ptd Ltd,JDFL International Ptd Ltd,Asia / Pacific,Australia,compass.education,,,,,,,,
Complete ATM Services Pty Ltd,Complete ATM Services,Asia / Pacific,AUSTRALIA,completeatmservices.com.au,,,,,,,,
Concerto Software and Systems Pvt. Ltd.,,Asia / Pacific,INDIA,concertosoft.com,,,,,,,,
Ezetap Mobile Solutions Pvt. Ltd.,Ezetap,Asia / Pacific,India,corp.ezetap.com,,,,,,,,
"Rakuten, Inc.",,Asia / Pacific,JAPAN,corp.rakuten.co.jp,,,,,,,,
CITYLINE (HONG KONG) LIMITED,,Asia / Pacific,HONG KONG,corporate.cityline.com,,,,,,,,
Credit Libanais S.A.L.,,Asia / Pacific,LEBANON,creditlibanais.com.lb,,,,,,,,
International Payment Network S.A.L.,Credit Libanis,Asia / Pacific,LEBANON,creditlibanais.com,,,,,,,,
Credorax Bank Limited,,Asia / Pacific,ISRAEL,credorax.com,,,,,,,,
"Crowd Cast, Ltd.",,Asia / Pacific,JAPAN,crowdcast.jp,,,,,,,,
Crown Worldwide (NZ) Limited,,Asia / Pacific,NEW ZEALAND,crownrms.com,,,,,,,,
CSCBank SAL,,Asia / Pacific,LEBANON,cscgroup.com,,,,,,,,
PT. Cipta Srigati Lestari,,Asia / Pacific,INDONESIA,cslgroup.co.id,,,,,,,,
"Chutian Dragon Co., Ltd.",,Asia / Pacific,MAINLAND CHINA,ctdcn.com,,,,,,,,
CTGShop Money,CTGShop Limited,Asia / Pacific,Bangladesh,ctgshopmoney.com,,,,,,,,
Centre de Traitement Monetique (CTM),Centre de,Asia / Pacific,LEBANON,ctmlb.com,,,,,,,,
Ctrip Financial Service Co. Ltd,Ctrip,Asia / Pacific,CHINA MAINLAND,ctrip.com,,,,,,,,
"Shanghai Chengtian Smart Card Co., Ltd.",,Asia / Pacific,MAINLAND CHINA,ctwygroup.com,,,,,,,,
Cubic Transportation Systems (Australia) Pty. Limited,CUBIC,Asia / Pacific,AUSTRALIA,cubic.com,,,,,,,,
"China Unionpay Data Service Co., Ltd",CUP Data,Asia / Pacific,CHINA MAINLAND,cupdata.com,,,,,,,,
Currency Gate Ltd,Currency Gate,Asia / Pacific,ISRAEL,currencygate.biz,,,,,,,,
CURRENCY SELECT PTY LTD,CURRENCY SELECT,Asia / Pacific,AUSTRALIA,currencyselect.com,,,,,,,,
Cuscal Limited,Cuscal,Asia / Pacific,AUSTRALIA,cuscal.com.au,,,,,,,,
Cyprea Hotels & Travel Pl,Cyprea,Asia / Pacific,MALDIVES,cyprea.com.mv,,,,,,,,
Data Action Pty Ltd,DA,Asia / Pacific,AUSTRALIA,da.com.au,,,,,,,,
Damian.com,,Asia / Pacific,AUSTRALIA,damian.com.au,,,,,,,,
DAOU DATA CORP,,Asia / Pacific,SOUTH KOREA,daoudata.co.kr,,,,,,,,
Dash ATM Services Pty Ltd,Dash ATM,Asia / Pacific,AUSTRALIA,dashatm.com.au,,,,,,,,
Database Consultants Australia (DCA),DCA Solutions,Asia / Pacific,AUSTRALIA,data.com.au,,,,,,,,
Datasonic Corporation Sdn Bhd,,Asia / Pacific,MALAYSIA,datasonic.com.my,,,,,,,,
DebitSuccess Limited,Debitsuccess,Asia / Pacific,NEW ZEALAND,debitsuccess.co.nz,,,,,,,,
DebitSuccess Pty Ltd.,Debitsuccess,Asia / Pacific,Australia,debitsuccess.com.au,,,,,,,,
EMC Global Holdings Company,EMC,Asia / Pacific,AUSTRALIA,delltechnologies.com,,,,,,,,
Demir Kyrgyz International Bank,,Asia / Pacific,KYRGYZSTAN,demirbank.kg,,,,,,,,
"Densan System Co.,Ltd.",,Asia / Pacific,JAPAN,densan-s.co.jp,,,,,,,,
"DigiFlow Co., Ltd.",DigiFlow,Asia / Pacific,Taiwan,dewyitbd.com,,,,,,,,
Pt. Wincor-Nixdorf,,Asia / Pacific,INDONESIA,dieboldnixdorfag.com,,,,,,,,
Digital Jungle (AUS) PTY Ltd.,Digital Jungle,Asia / Pacific,AUSTRALIA,digitaljunglegroup.com,,,,,,,,
Unimoni Enterprise Solutions Pvt Ltd,,Asia / Pacific,INDIA,direcpay.com,,,,,,,,
Israel Discount Bank,,Asia / Pacific,ISRAEL,discountbank.co.il,,,,,,,,
DIVINE IT LIMITED,,Asia / Pacific,India,divineit.net,,,,,,,,
D Money Bangladesh Limited,Dmoney,Asia / Pacific,Bangladesh,dmoney.com.bd,,,,,,,,
"DAI NIPPON PRINTING CO., LTD",,Asia / Pacific,JAPAN,dnp.co.jp,,,,,,,,
DonnellySpire Business Development & Consulting,,Asia / Pacific,China,donnellyspire.com,,,,,,,,
Data Products Toppan Forms Ltd,,Asia / Pacific,THAILAND,dptf.co.th,,,,,,,,
David Rabbi Law Office Inc.,,Asia / Pacific,ISRAEL,drabbi.com,,,,,,,,
DSB Entertainment,DSB,Asia / Pacific,AUSTRALIA,dsbevents.com,,,,,,,,
Duncan Solutions,Duncan Solutions,Asia / Pacific,AUSTRALIA,duncansolutions.com,,,,,,,,
dz card (India) Pvt Ltd,,Asia / Pacific,INDIA,dzcard.com,,,,,,,,
GHL ePayments SDN Bhd.,eGHL,Asia / Pacific,Malaysia,e-ghl.com,,,,,,,,
E-Pay (M) Sdn Bhd,,Asia / Pacific,MALAYSIA,e-pay.com.my,,,,,,,,
Tameer Microfinance Bank Ltd,Tameer Microfinance Bank Ltd,Asia / Pacific,Pakistan,easypay.easypaisa.com.pk,,,,,,,,
E Billing Solutions,E Billing Solutions,Asia / Pacific,India,ebs.in,,,,,,,,
"ECONTEXT, INC","ECONTEXT,",Asia / Pacific,JAPAN,econtext.asia,,,,,,,,
Green World FinTech Service Co,GreenWorld,Asia / Pacific,Taiwan,ecpay.com.tw,,,,,,,,
Eftex Pty Ltd,Eftex,Asia / Pacific,AUSTRALIA,eftex.com.au,,,,,,,,
EFT Payments (Asia) Limited,EFT Payments,Asia / Pacific,Hong Kong,eftpay.com.hk,,,,,,,,
EFTPOS New Zealand Limited,,Asia / Pacific,NEW ZEALAND,eftpos.co.nz,,,,,,,,
Business Ralliart Inc.,Business Ralliart,Asia / Pacific,JAPAN,eigyo.co.jp,,,,,,,,
"Shenzhen Einolda Financial Information Co., Ltd",Einolda,Asia / Pacific,MAINLAND CHINA,einolda.com,,,,,,,,
"EIWA TRADING CO., LTD.",,Asia / Pacific,JAPAN,eiwatrading.co.jp,,,,,,,,
EML Payment Solutions Ltd,EML,Asia / Pacific,AUSTRALIA,emlpayments.com,,,,,,,,
"China Minsheng Banking Corp.,Ltd",,Asia / Pacific,MAINLAND CHINA,en.cmbc.com.cn,,,,,,,,
"Eastcompeace Technology Co., Ltd",,Asia / Pacific,MAINLAND CHINA,en.eastcompeace.com,,,,,,,,
"Hengbao Co., Ltd",,Asia / Pacific,MAINLAND CHINA,en.hangbao.com,,,,,,,,
"E-net Co., Ltd",,Asia / Pacific,JAPAN,enetcom.co.jp,,,,,,,,
Nice Information &amp; Telecommunication Inc,,Asia / Pacific,SOUTH KOREA,eng.nice.co.kr,,,,,,,,
China Merchants Bank,,Asia / Pacific,MAINLAND CHINA,english.cmbchina.com,,,,,,,,
"EPARK Co., Ltd.",,Asia / Pacific,JAPAN,epark.co.jp,,,,,,,,
"ePayLinks Technology Co., Ltd",ePayLinks,Asia / Pacific,CHINA MAINLAND,epaylinks.cn,,,,,,,,
Epic Lanka (Private) Limited,,Asia / Pacific,SRI LANKA,epictechnology.lk,,,,,,,,
"Equitable Computer Services, Inc.",,Asia / Pacific,PHILIPPINES,equicom.com,,,,,,,,
Reasoning Global eApplications Pvt. Ltd.,eReasoning,Asia / Pacific,India,ereasoning.com,,,,,,,,
Red Sunrise Co. Ltd,SunTech,Asia / Pacific,Taiwan,esafe.com.tw,,,,,,,,
"Estore Co .,Ltd.",,Asia / Pacific,JAPAN,estore.co.jp,,,,,,,,
Euronet Pakistan (Private) Limited,,Asia / Pacific,PAKISTAN,euronetpakistan.com,,,,,,,,
Everstone GmbH,,Asia / Pacific,AUSTRALIA,everstone.com,,,,,,,,
Everyday Hero Pty Ltd,Everyday Hero,Asia / Pacific,Australia,everydayhero.com,,,,,,,,
eWay New Zealand Limited,,Asia / Pacific,NEW ZEALAND,eway.co.nz,,,,,,,,
Web Active Corporation Pty Ltd t/a eWAY,eway,Asia / Pacific,AUSTRALIA,eway.com.au,,,,,,,,
"Shenzhen Excelsecu Data Technology Co., Ltd",,Asia / Pacific,MAINLAND CHINA,excelsecu.com,,,,,,,,
"EXIMBAY CO., LTD.",,Asia / Pacific,SOUTH KOREA,eximbay.com,,,,,,,,
The Extra Mile Company,,Asia / Pacific,NEW ZEALAND,extramilecompany.com,,,,,,,,
Ezidebit (NZ) Limited,,Asia / Pacific,NEW ZEALAND,ezidebit.com,,,,,,,,
"ezPay Taiwan Co., Ltd.",ezPay,Asia / Pacific,Taiwan,ezpay.com.tw,,,,,,,,
"Ezswype Business Solutions Pvt. Ltd.,",,Asia / Pacific,INDIA,ezswype.com,,,,,,,,
Ezypay Pty Limited,Ezypay,Asia / Pacific,Australia,ezypay.com,,,,,,,,
"F-REGI Co., Ltd.",,Asia / Pacific,JAPAN,f-regi.co.jp,,,,,,,,
PT. Media Indonusa,Faspay,Asia / Pacific,INDONESIA,faspay.co.id,,,,,,,,
Soft Space Sdn Bhd,,Asia / Pacific,MALAYSIA,fasspay.com,,,,,,,,
Fat Zebra Pty. Ltd,Fat Zebra,Asia / Pacific,AUSTRALIA,fatzebra.com.au,,,,,,,,
Feecounter Online Services (P) Ltd,Feecounter.com,Asia / Pacific,India,feecounter.com,,,,,,,,
FFA Paysmart Pty Ltd,FFA Paysmart,Asia / Pacific,Australia,ffapaysmart.com.au,,,,,,,,
Adeptra Pty Ltd,Fico,Asia / Pacific,AUSTRALIA,fico.com,,,,,,,,
Genius Finance GMBH,Finacial Genius,Asia / Pacific,AUSTRALIA,financialgenius.net.au,,,,,,,,
PT Finexus Jakarta,,Asia / Pacific,INDONESIA,finexusgroup.com,,,,,,,,
PT. Finnet Indonesia,,Asia / Pacific,INDONESIA,finnet-indonesia.com,,,,,,,,
First Mortgage Company Pty Ltd,FirstMac,Asia / Pacific,AUSTRALIA,firstmac.com.au,,,,,,,,
"Financial Information Service Co., Ltd.",,Asia / Pacific,TAIWAN,fisc.com.tw,,,,,,,,
WorldPay Canada,Worldpay,Asia / Pacific,SINGAPORE,fisglobal.com,,,,,,,,
Flo2 Cash Limited,Flo2cash,Asia / Pacific,NEW ZEALAND,flo2cash.co.nz,,,,,,,,
Flo2cash Limited,Flo2cash,Asia / Pacific,AUSTRALIA,flo2cash.com,,,,,,,,
fonePaisa Payment Solutions Pvt. Ltd,fonePaisa,Asia / Pacific,India,fonepaisa.com,,,,,,,,
FoongTone Technology Co Ltd,,Asia / Pacific,TAIWAN,foongtone.com.tw,,,,,,,,
Foster Corporation Limited,Foster Payments,Asia / Pacific,Bangladesh,fosterpayments.com.bd,,,,,,,,
Frankie Financial,Frankie Financial,Asia / Pacific,AUSTRALIA,frankiefinancial.com,,,,,,,,
Freecharge Payment Technologies Private Limited,Freecharge,Asia / Pacific,India,freecharge.in,,,,,,,,
Shenzhen FreeTrade Pay Co. Ltd.,FreeTrade Pay,Asia / Pacific,CHINA MAINLAND,freetradepay.com,,,,,,,,
FINANCIAL SOFTWARE AND SYSTEMS (P) LTD,,Asia / Pacific,INDIA,fsstech.com,,,,,,,,
Nomisma Mobile Solutions Pvt. Ltd.,ftcash,Asia / Pacific,INDIA,ftcash.com,,,,,,,,
"FeiTian Technologies Co., Ltd.",,Asia / Pacific,MAINLAND CHINA,FTsafe.com,,,,,,,,
Fuji Japanese Restaurant,Fuji Japanese,Asia / Pacific,MYANMAR,fujirestaurant.in,,,,,,,,
Fujitsu Frontech Corporation,,Asia / Pacific,JAPAN,fujitusu.com,,,,,,,,
G2A.COM Limited,,Asia / Pacific,HONG KONG,g2a.co,,,,,,,,
Pt. Securicor Indonesia,G4S,Asia / Pacific,INDONESIA,g4s.co.id,,,,,,,,
Pt. G4s Euronet Indonesia,,Asia / Pacific,INDONESIA,g4s.com,,,,,,,,
"GAMA PAY Co.,Ltd",,Asia / Pacific,TAIWAN,gamapay.com.tw,,,,,,,,
GAMA Financial Services,GAMA,Asia / Pacific,Israel,gamaweb.com,,,,,,,,
Gama Financial Service Ltd,,Asia / Pacific,ISRAEL,gammafs.com,,,,,,,,
"Global Prime Corporation Co., Ltd.",,Asia / Pacific,THAILAND,gbprimepay.com,,,,,,,,
JSC Georgian Card,,Asia / Pacific,GEORGIA,gc.ge,,,,,,,,
"Global Communication Planning Co., Ltd.",,Asia / Pacific,JAPAN,gck.co.jp,,,,,,,,
Generate Group PTY LTD,Generate Group,Asia / Pacific,AUSTRALIA,generategroup.net,,,,,,,,
Neema_Shefa Israel Ltd,Neema,Asia / Pacific,ISRAEL,getneema.com,,,,,,,,
GHL Cardpay SDN BHD,GHL Cardpay SDN BHD,Asia / Pacific,Malaysia,ghl.com,,,,,,,,
Our Community Foundation,GIVENOW,Asia / Pacific,Australia,givenow.com.au,,,,,,,,
GKASH SDN BHD,GKASH,Asia / Pacific,Malaysia,gkash.com,,,,,,,,
GLOBAL BLUE CURRENCY CHOICE SINGAPORE,,Asia / Pacific,SINGAPORE,global-blue.com,,,,,,,,
"Japan Card Network Co., Ltd",JCB,Asia / Pacific,JAPAN,global.jcb,,,,,,,,
Paymate Pty Ltd,Paymate,Asia / Pacific,Australia,global.paymate.com,,,,,,,,
"Taiwan Rakuten Ichiba, Inc.",Rakuten,Asia / Pacific,Taiwan,global.rakuten.com,,,,,,,,
Global Collect Services B.V.,Global Collect BV,Asia / Pacific,AUSTRALIA,globalcollect.com,,,,,,,,
MiGS MasterCard Gateway Service,,Asia / Pacific,HONG KONG,globalpaymentsinc.com,,,,,,,,
Globe Telecom Inc.,Globe Telecom,Asia / Pacific,Philippines,globe.com.ph,,,,,,,,
HK Yintong Telecom Payment Limited,Globebill,Asia / Pacific,Hong Kong,globebill.com,,,,,,,,
"Tianjin Global Magnetic Card Co., Ltd.",,Asia / Pacific,MAINLAND CHINA,gmcc.com.cn,,,,,,,,
GMO Financial Gate Inc.,,Asia / Pacific,JAPAN,gmo-fg.com,,,,,,,,
"GMO Epsilon,Inc.",,Asia / Pacific,JAPAN,gmo-pg.com,,,,,,,,
"Ga Mone Pwint Co., Ltd.",,Asia / Pacific,MYANMAR,gmp-myanmar.com,,,,,,,,
GOLDENPAY LLC,GOLDENPAY,Asia / Pacific,AZERBAIJAN,goldenpay.az,,,,,,,,
GOLDPAC ACS TECHNOLOGIES INC.,,Asia / Pacific,PHILIPPINES,goldpac-acs.com,,,,,,,,
GOLDPAC LIMITED,,Asia / Pacific,MAINLAND CHINA,goldpac.com,,,,,,,,
Gomaji Corp Ltd.,Gomaji Corp Ltd.,Asia / Pacific,Taiwan,gomaji.com,,,,,,,,
"Cash Flow Co., Ltd",Go My Pay,Asia / Pacific,Taiwan,gomypay.asia,,,,,,,,
"Green World FinTech Service Co., Ltd.",,Asia / Pacific,TAIWAN,greenworld.com.tw,,,,,,,,
"KEB Hana Card Co.,Ltd.",,Asia / Pacific,SOUTH KOREA,hanacard.co.kr,,,,,,,,
Handii,,Asia / Pacific,JAPAN,handii.co.jp,,,,,,,,
VA Tech Ventures Private Limited,,Asia / Pacific,INDIA,happay.in,,,,,,,,
"Happy-Pay Fintech Co., Ltd",Happy-Pay,Asia / Pacific,Taiwan,happy-pay.com,,,,,,,,
"HONGBO CO., LTD",,Asia / Pacific,MAINLAND CHINA,hb-print.com.cn,,,,,,,,
HCL Technologies Ltd,,Asia / Pacific,INDIA,HCL.com,,,,,,,,
Alipay Philippines,,Asia / Pacific,Philippines,hellopay.com.ph,,,,,,,,
